DEPARTAMENTO,MUNICIPIO,conteo
SOLOLA,SAN JOSE CHACAYA,1
QUETZALTENANGO,CAJOLA,1
QUETZALTENANGO,SAN FRANCISCO LA UNION,1
QUETZALTENANGO,ZUNIL,1
HUEHUETENANGO,SANTA BARBARA,1
HUEHUETENANGO,SAN JUAN ATITAN,1
SOLOLA,SAN ANTONIO PALOPO,1
SOLOLA,SAN MARCOS LA LAGUNA,1
TOTONICAPAN,SAN BARTOLO AGUAS CALIENTES,1
HUEHUETENANGO,PETATAN,1
CIUDAD CAPITAL,ZONA 24,2
QUICHE,SAN BARTOLOME JOCOTENANGO,2
SUCHITEPEQUEZ,SAN LORENZO,2
SAN MARCOS,SAN ANTONIO SACATEPEQUEZ,2
CHIQUIMULA,SAN JACINTO,2
CHIMALTENANGO,SANTA CRUZ BALANYA,2
SANTA ROSA,SANTA CRUZ NARANJO,2
HUEHUETENANGO,SAN MIGUEL ACATAN,2
QUETZALTENANGO,SAN MIGUEL SIGUILA,2
QUICHE,CHICHE,2
QUICHE,PATZITE,2
JUTIAPA,JEREZ,2
ZACAPA,SAN JORGE,2
SOLOLA,SAN PABLO LA LAGUNA,2
QUETZALTENANGO,ALMOLONGA,2
